lemma,PoS,freq(ipm)
массовый,a,87.5
обеспечивать,v,87.5
генеральный,a,87.4
замечательный,a,87.4
хоть,conj,87.4
двигаться,v,87.3
законодательство,s,87.3
продажа,s,87.3
повышение,s,87.2
содержать,v,87.2
страшно,adv,87.2
прежде,adv,87.1
музей,s,87.0
задний,a,86.9
региональный,a,86.9
след,s,86.9
из-под,pr,86.8
полковник,s,86.8
приезжать,v,86.8
сомнение,s,86.8
понимание,s,86.7
здоровый,a,86.6
держаться,v,86.4
обеспечить,v,86.4
слегка,adv,86.3
апрель,s,86.2
князь,s,86.0
поступить,v,86.0
рыба,s,86.0
привыкнуть,v,85.9
активный,a,85.7
литературный,a,85.7
открывать,v,85.7
собственно,adv,85.7
дума,s,85.5
еще,part,85.5
неужели,part,85.5
кодекс,s,85.4
сутки,s,85.4
чудо,s,85.4
вырасти,v,85.3
шея,s,85.3
зайти,v,85.2
судья,s,85.2
острый,a,85.1
посвятить,v,85.1
стремиться,v,85.1
богатый,a,85.0
крыша,s,85.0
настроение,s,85.0
отсюда,advpro,85.0
творческий,a,85.0
нечто,spro,84.9
поток,s,84.8
мягкий,a,84.7
ночной,a,84.7
должность,s,84.6
преступление,s,84.6
измениться,v,84.5
мозг,s,84.5
налоговый,a,84.5
толстый,a,84.4
честь,s,84.4
пост,s,84.3
удивиться,v,84.3
падать,v,84.2
еврей,s,84.1
звучать,v,84.1
бедный,a,84.0
июнь,s,84.0
много,adv,84.0
сотня,s,84.0
верхний,a,83.9
суметь,v,83.9
вечный,a,83.8
восемь,num,83.5
лишний,a,83.5
морской,a,83.5
разработать,v,83.5
нижний,a,83.4
спокойный,a,83.4
поговорить,v,83.3
дождь,s,83.2
меньше,num,83.2
лестница,s,83.1
сухой,a,83.0
ах,intj,82.9
лететь,v,82.9
совершить,v,82.9
дача,s,82.8
синий,a,82.8
просто,adv,82.6
установка,s,82.6
появление,s,82.5
получение,s,82.3
сегодняшний,a,82.3
строить,v,82.2
образец,s,82.1
труба,s,82.1
главное,s,82.0
кончиться,v,82.0
медицинский,a,82.0
привезти,v,82.0
многие,spro,81.8
осень,s,81.8
вряд,adv,81.7
сложиться,v,81.6
оставлять,v,81.4
полагать,v,81.4
висеть,v,81.3
костюм,s,81.3
свежий,a,81.3
трудный,a,81.3
уголовный,a,81.3
баба,s,81.2
ценность,s,81.2
обязанность,s,81.1
пьеса,s,81.1
чей,apro,81.1
таблица,s,81.0
вино,s,80.9
воспоминание,s,80.9
лошадь,s,80.9
повторить,v,80.9
кто-нибудь,spro,80.8
сыграть,v,80.8
коллега,s,80.6
организм,s,80.6
случайно,adv,80.5
ученик,s,80.4
учреждение,s,80.4
высоко,adv,80.3
открытие,s,80.2
спасти,v,80.1
том,s,80.0
черта,s,80.0
изменить,v,79.9
повторять,v,79.9
характеристика,s,79.9
по-прежнему,adv,79.8
явиться,v,79.8
выполнение,s,79.6
оборона,s,79.6
выступление,s,79.5
температура,s,79.5
замечать,v,79.4
перспектива,s,79.4
подать,v,79.4
подруга,s,79.4
приказ,s,79.4
вверх,adv,79.3
жертва,s,79.3
назначить,v,79.3
протянуть,v,79.3
ресторан,s,79.3
километр,s,79.2
сохранить,v,79.2
спор,s,79.2
попытаться,v,79.1
расположить,v,79.1
использоваться,v,79.0
вкус,s,78.9
насколько,adv,78.9
признак,s,78.9
промышленность,s,78.9
странно,adv,78.9
американец,s,78.8
лоб,s,78.7
заключение,s,78.6
вероятно,adv,78.5
восток,s,78.5
вроде,pr,78.5
исключение,s,78.3
отправиться,v,78.2
желтый,a,78.1
молча,adv,78.1
ключ,s,78.0
постановление,s,78.0
садиться,v,77.9
же,conj,77.7
немедленно,adv,77.6
слой,s,77.6
бок,s,77.4
встречать,v,77.4
говориться,v,77.3
крикнуть,v,77.2
спустя,pr,77.2
июль,s,77.0
мощный,a,77.0
перевод,s,77.0
секретарь,s,77.0
кусок,s,76.8
готовить,v,76.7
слух,s,76.7
учить,v,76.7
гореть,v,76.6
испытывать,v,76.6
польза,s,76.6
звонок,s,76.5
выделить,v,76.4
обстановка,s,76.2
оттуда,advpro,76.2
мимо,pr,75.9
поддерживать,v,75.9
подниматься,v,75.9
чиновник,s,75.9
следить,v,75.8
соглашение,s,75.8
деталь,s,75.7
русский,s,75.7
деревянный,a,75.6
тишина,s,75.6
зарплата,s,75.5
требоваться,v,75.5
билет,s,75.4
включать,v,75.4
подарок,s,75.4
тюрьма,s,75.4
ящик,s,75.4
конкурс,s,75.3
полезный,a,75.2
книжка,s,75.1
собирать,v,75.1
изучение,s,75.0
дальний,a,74.9
менять,v,74.9
скажем,adv,74.9
делаться,v,74.7
просьба,s,74.7
царь,s,74.7
публика,s,74.6
смех,s,74.6
покупать,v,74.5
сообщение,s,74.5
угроза,s,74.5
беда,s,74.4
домашний,a,74.4
должно,adv,74.1
предполагать,v,74.1
традиционный,a,74.1
терять,v,74.0
специально,adv,73.9
блок,s,73.7
достижение,s,73.7
назначение,s,73.7
реклама,s,73.7
жесткий,a,73.6
крепкий,a,73.6
портрет,s,73.6
послать,v,73.3
буквально,adv,73.0
виноватый,a,73.0
допустить,v,73.0
значительно,adv,73.0
масло,s,73.0
культурный,a,72.8
стакан,s,72.8
вокруг,adv,72.7
приятный,a,72.7
прочитать,v,72.7
урок,s,72.6
присутствовать,v,72.5
часы,s,72.5
взглянуть,v,72.4
крик,s,72.4
мечтать,v,72.4
подписать,v,72.4
во-вторых,adv,72.3
творчество,s,72.3
телевизор,s,72.3
осуществлять,v,72.2
инструмент,s,72.1
поступать,v,72.1
концепция,s,71.9
круглый,a,71.9
лейтенант,s,71.9
экран,s,71.9
дно,s,71.8
реальность,s,71.7
понятный,a,71.6
голубой,a,71.5
канал,s,71.5
удивительный,a,71.5
мясо,s,71.4
знакомый,s,71.3
щека,s,71.3
мужской,a,71.2
о,intj,71.2
правовой,a,71.2
конфликт,s,71.1
переговоры,s,71.1
пятьдесят,num,71.1
больной,a,71.0
запись,s,71.0
пора,adv,71.0
вагон,s,70.9
готовиться,v,70.9
мертвый,a,70.8
площадка,s,70.6
последствие,s,70.6
пятый,anum,70.6
сотрудничество,s,70.6
б,part,70.5
зеркало,s,70.5
тон,s,70.5
захотеть,v,70.4
совместный,a,70.4
академия,s,70.3
бороться,v,70.3
отдавать,v,70.3
семейный,a,70.3
тяжело,adv,70.3
остановить,v,70.2
палата,s,70.2
потребность,s,70.2
приобрести,v,70.2
включить,v,70.1
ноябрь,s,70.1
увеличение,s,70.0
продолжаться,v,69.9
дурак,s,69.8
осторожно,adv,69.8
поездка,s,69.8
обед,s,69.7
подтвердить,v,69.7
потеря,s,69.7
природный,a,69.7
спешить,v,69.7
февраль,s,69.7
добиться,v,69.5
мероприятие,s,69.5
парк,s,69.5
принятие,s,69.5
устройство,s,69.5
вещество,s,69.3
впереди,adv,69.3
навсегда,advpro,69.3
отправить,v,69.3
повернуться,v,69.3
категория,s,69.2
православный,a,69.2
сезон,s,69.2
учебный,a,69.2
вставать,v,69.1
подготовить,v,69.1
исходить,v,69.0
гостиница,s,68.9
издание,s,68.9
эффективный,a,68.9
нечего,advpro,68.8
свидетельствовать,v,68.8
ввести,v,68.6
взяться,v,68.6
объединение,s,68.6
прочесть,v,68.6
темнота,s,68.6
человечество,s,68.6
болеть,v,68.5
вернуть,v,68.5
тянуть,v,68.5
колесо,s,68.4
опасность,s,68.4
продать,v,68.3
разрешение,s,68.3
воздействие,s,68.0
коллектив,s,68.0
камера,s,67.9
внимательно,adv,67.8
запас,s,67.8
представляться,v,67.8
следствие,s,67.8
длина,s,67.7
материальный,a,67.7
невозможный,a,67.7
крыло,s,67.6
округ,s,67.6
произвести,v,67.5
фон,s,67.5
кандидат,s,67.4
родственник,s,67.4
полтора,num,67.3
прекрасно,adv,67.3
выступить,v,67.2
давление,s,67.2
пахнуть,v,67.2
познакомиться,v,67.2
присутствие,s,67.2
взаимодействие,s,67.1
громко,adv,67.1
доска,s,67.1
наступить,v,67.1
партнер,s,67.1
двигатель,s,67.0
шум,s,66.9
достоинство,s,66.8
предстоять,v,66.8
вдоль,pr,66.7
грех,s,66.7
господи,intj,66.6
нож,s,66.6
полет,s,66.5
производить,v,66.5
ранее,adv,66.5
страсть,s,66.5
перевести,v,66.4
разрешить,v,66.4
соседний,a,66.4
психологический,a,66.2
испытание,s,66.1
проверить,v,66.1
TRUE,s,66.1
меняться,v,66.0
оплата,s,66.0
разница,s,66.0
соответственно,adv,66.0
водитель,s,65.9
музыкальный,a,65.9
куда-то,advpro,65.8
пакет,s,65.8
снижение,s,65.8
выдержать,v,65.7
формула,s,65.7
важно,adv,65.6
живот,s,65.6
капитал,s,65.6
учитывать,v,65.6
курить,v,65.5
голый,a,65.4
забывать,v,65.4
заключаться,v,65.4
мост,s,65.4
обязательный,a,65.4
сверху,adv,65.4
новость,s,65.3
эффект,s,65.3
вход,s,65.2
выбирать,v,65.2
губернатор,s,65.2
исполнительный,a,65.2
какой-либо,apro,65.2
напомнить,v,65.2
партийный,a,65.2
доклад,s,65.1
закричать,v,65.1
организовать,v,65.1
смена,s,65.1
убийство,s,65.1
эксперт,s,65.1
вон,part,65.0
доказать,v,65.0
раз,conj,65.0
редко,adv,65.0
существенный,a,65.0
приносить,v,64.9
автобус,s,64.8
платье,s,64.8
осуществляться,v,64.7
честно,adv,64.7
помимо,pr,64.6
кадр,s,64.5
ой,intj,64.5
тетя,s,64.5
восточный,a,64.4
дышать,v,64.4
общение,s,64.4
описать,v,64.4
психология,s,64.4
лев,s,64.3
таков,apro,64.3
порог,s,64.2
проверка,s,64.2
прожить,v,64.2
процедура,s,64.2
рабочий,s,64.2
ремонт,s,64.2
сельский,a,64.2
характерный,a,64.2
обращение,s,64.1
обучение,s,64.1
неожиданный,a,64.0
ожидание,s,64.0
оценить,v,64.0
широко,adv,64.0
рассмотреть,v,63.9
памятник,s,63.8
корень,s,63.7
наблюдение,s,63.7
проводиться,v,63.7
буква,s,63.5
видный,a,63.5
доказательство,s,63.5
лечь,v,63.5
превратиться,v,63.5
признание,s,63.5
внутри,pr,63.4
выпустить,v,63.4
постель,s,63.4
честный,a,63.4
штаб,s,63.4
ударить,v,63.3
владелец,s,63.2
компьютер,s,63.2
окончательно,adv,63.2
резкий,a,63.2
инженер,s,63.1
младший,a,63.1
проснуться,v,63.1
заранее,adv,63.0
итак,conj,63.0
открыться,v,63.0
старуха,s,63.0
лодка,s,62.9
ракета,s,62.9
трудовой,a,62.9
серия,s,62.8
строгий,a,62.8
шутка,s,62.7
вершина,s,62.6
строго,adv,62.6
выпуск,s,62.5
кулак,s,62.5
лед,s,62.5
способствовать,v,62.5
торговля,s,62.5
южный,a,62.5
практический,a,62.4
многочисленный,a,62.3
нефть,s,62.3
согласный,a,62.3
молодежь,s,62.2
цифра,s,62.2
корпус,s,62.1
научиться,v,62.1
недостаток,s,62.1
наверно,adv,62.0
сапог,s,62.0
спортивный,a,62.0
сущность,s,62.0
талант,s,62.0
умирать,v,62.0
истинный,a,61.8
эффективность,s,61.8
похоже,adv,61.7
стрелять,v,61.7
кофе,s,61.6
обойтись,v,61.6
полоса,s,61.6
серьезно,adv,61.6
